Date,Country,Sex,SexQF,AgeGroup,AgeGroupQF,DailyPositive,CumulativePositive,CrudeRatePositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,CumulativeNegative,CrudeRateNegative
20200228,S92000003,Female,"",0 to 14,"",0,0,0,0,0,0,33,7.82103574213334
20200228,S92000003,Female,"",0 to 59,"",0,0,0,0,0,0,321,15.6758411846834
20200228,S92000003,Female,"",15 to 19,"",0,0,0,0,0,0,10,7.25763139941649
20200228,S92000003,Female,"",20 to 24,"",0,0,0,0,0,0,42,24.5055137405916
20200228,S92000003,Female,"",25 to 44,"",0,0,0,0,0,0,126,17.4883896524252
20200228,S92000003,Female,"",45 to 64,"",0,0,0,0,0,0,146,18.8634146656589
20200228,S92000003,Female,"",60+,"",0,0,0,0,0,0,71,9.43446369724673
20200228,S92000003,Female,"",65 to 74,"",0,0,0,0,0,0,30,9.95021575384493
20200228,S92000003,Female,"",75 to 84,"",0,0,0,0,0,0,4,2.09397772007706
20200228,S92000003,Female,"",85plus,"",0,0,0,0,0,0,1,1.21663381755359
20200228,S92000003,Female,"",Total,d,0,0,0,0,0,0,392,13.9985151574994
20200228,S92000003,Male,"",0 to 14,"",0,0,0,0,0,0,54,12.1685753302416
20200228,S92000003,Male,"",0 to 59,"",1,1,0.0493406850954126,0,0,0,349,17.219899098299
20200228,S92000003,Male,"",15 to 19,"",0,0,0,0,0,0,8,5.54892766972783
20200228,S92000003,Male,"",20 to 24,"",0,0,0,0,0,0,22,12.4953142571536
20200228,S92000003,Male,"",25 to 44,"",0,0,0,0,0,0,141,20.051365625986602
20200228,S92000003,Male,"",45 to 64,"",1,1,0.137669178211375,0,0,0,146,20.0997000188607
20200228,S92000003,Male,"",60+,"",0,0,0,0,0,0,61,9.58700442259515
20200228,S92000003,Male,"",65 to 74,"",0,0,0,0,0,0,35,12.6445543517137
20200228,S92000003,Male,"",75 to 84,"",0,0,0,0,0,0,4,2.70756900916512
20200228,S92000003,Male,"",85plus,"",0,0,0,0,0,0,0,0
20200228,S92000003,Male,"",Total,d,1,1,0.0375515911923494,0,0,0,410,15.3961523888632
20200228,S92000003,Total,d,0 to 14,"",0,0,0,0,0,0,87,10.049612743371
20200228,S92000003,Total,d,0 to 59,"",1,1,0.0245431175944211,0,0,0,670,16.4438887882621
20200228,S92000003,Total,d,15 to 19,"",0,0,0,0,0,0,18,6.38392952141808
20200228,S92000003,Total,d,20 to 24,"",0,0,0,0,0,0,65,18.707404678578
20200228,S92000003,Total,d,25 to 44,"",0,0,0,0,0,0,268,18.8245607134228
20200228,S92000003,Total,d,45 to 64,"",1,1,0.0666504928137439,0,0,0,292,19.4619439016132
20200228,S92000003,Total,d,60+,"",0,0,0,0,0,0,132,9.50434823931949
20200228,S92000003,Total,d,65 to 74,"",0,0,0,0,0,0,65,11.2398409130209
20200228,S92000003,Total,d,75 to 84,"",0,0,0,0,0,0,8,2.36156784489222
20200228,S92000003,Total,d,85plus,"",0,0,0,0,0,0,1,0.786862542982366
20200228,S92000003,Total,d,Total,d,1,1,0.0183039554847803,0,0,0,804,14.7163802097633
20200229,S92000003,Female,"",0 to 14,"",0,0,0,0,0,0,40,9.48004332379799
20200229,S92000003,Female,"",0 to 59,"",0,0,0,0,0,0,343,16.7501979013907
20200229,S92000003,Female,"",15 to 19,"",0,0,0,0,0,0,11,7.98339453935813
20200229,S92000003,Female,"",20 to 24,"",0,0,0,0,0,0,44,25.6724429663341
20200229,S92000003,Female,"",25 to 44,"",0,0,0,0,0,0,132,18.3211701120645
20200229,S92000003,Female,"",45 to 64,"",0,0,0,0,0,0,153,19.767824957848
20200229,S92000003,Female,"",60+,"",0,0,0,0,0,0,81,10.7632614010843
20200229,S92000003,Female,"",65 to 74,"",0,0,0,0,0,0,34,11.2769111876909
20200229,S92000003,Female,"",75 to 84,"",0,0,0,0,0,0,8,4.18795544015412
20200229,S92000003,Female,"",85plus,"",0,0,0,0,0,0,2,2.43326763510719
20200229,S92000003,Female,"",Total,d,0,0,0,0,0,0,424,15.1412510887238
20200229,S92000003,Male,"",0 to 14,"",0,0,0,0,0,0,66,14.8727031814064
20200229,S92000003,Male,"",0 to 59,"",0,1,0.0493406850954126,0,0,0,380,18.7494603362568
20200229,S92000003,Male,"",15 to 19,"",0,0,0,0,0,0,8,5.54892766972783
20200229,S92000003,Male,"",20 to 24,"",0,0,0,0,0,0,23,13.0632830870242
20200229,S92000003,Male,"",25 to 44,"",0,0,0,0,0,0,147,20.9046152270924
20200229,S92000003,Male,"",45 to 64,"",0,1,0.137669178211375,0,0,0,159,21.8893993356085
20200229,S92000003,Male,"",60+,"",0,0,0,0,0,0,70,11.0014804849453
20200229,S92000003,Male,"",65 to 74,"",0,0,0,0,0,0,40,14.4509192591014
20200229,S92000003,Male,"",75 to 84,"",0,0,0,0,0,0,6,4.06135351374768
20200229,S92000003,Male,"",85plus,"",0,0,0,0,0,0,1,2.22751876684561
20200229,S92000003,Male,"",Total,d,0,1,0.0375515911923494,0,0,0,450,16.8982160365572
20200229,S92000003,Total,d,0 to 14,"",0,0,0,0,0,0,106,12.2443557562911
20200229,S92000003,Total,d,0 to 59,"",0,1,0.0245431175944211,0,0,0,723,17.7446740207664
20200229,S92000003,Total,d,15 to 19,"",0,0,0,0,0,0,19,6.73859227260798
20200229,S92000003,Total,d,20 to 24,"",0,0,0,0,0,0,68,19.5708233560508
20200229,S92000003,Total,d,25 to 44,"",0,0,0,0,0,0,280,19.6674514916357
20200229,S92000003,Total,d,45 to 64,"",0,1,0.0666504928137439,0,0,0,312,20.7949537578881
20200229,S92000003,Total,d,60+,"",0,0,0,0,0,0,151,10.8723983646761
20200229,S92000003,Total,d,65 to 74,"",0,0,0,0,0,0,74,12.7961265779007
20200229,S92000003,Total,d,75 to 84,"",0,0,0,0,0,0,14,4.13274372856139
20200229,S92000003,Total,d,85plus,"",0,0,0,0,0,0,3,2.3605876289471
20200229,S92000003,Total,d,Total,d,0,1,0.0183039554847803,0,0,0,876,16.0342650046675
20200301,S92000003,Female,"",0 to 14,"",0,0,0,0,0,0,52,12.3240563209374
20200301,S92000003,Female,"",0 to 59,"",0,0,0,0,0,0,369,18.0198922029538
20200301,S92000003,Female,"",15 to 19,"",0,0,0,0,0,0,11,7.98339453935813
20200301,S92000003,Female,"",20 to 24,"",0,0,0,0,0,0,47,27.4228368049478
